                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4215,                 2.3367,                 1.7138,                0.78943,                0.49098,                0.59244,                  0.301,                 1.5076,                  2.471,                 2.0243,             0.00054854,             0.00054854,             0.00054854
                      2,                 1.4142,                 1.8067,                 1.6647,                0.51699,                0.47886,                0.48236,                0.22532,                 1.6779,                 2.3409,                 2.2857,              0.0010823,              0.0010823,              0.0010823
                      3,                 1.4071,                 1.6242,                 1.6653,                0.29479,                0.29825,                0.21019,                0.07638,                 2.5101,                 2.7377,                 2.7448,              0.0015941,              0.0015941,              0.0015941
                      4,                 1.4043,                 1.5444,                 1.6681,                0.49526,                0.43139,                0.47568,                0.22757,                  1.846,                  2.127,                 2.4012,               0.001568,               0.001568,               0.001568
                      5,                 1.3975,                 1.4818,                 1.6799,                0.68208,                0.60001,                 0.6836,                0.33347,                 1.6982,                 1.4992,                 2.1673,               0.001535,               0.001535,               0.001535
                      6,                 1.3777,                 1.3752,                 1.6568,                0.53522,                0.48464,                0.48748,                 0.2007,                 1.9841,                 1.9787,                 2.4435,               0.001502,               0.001502,               0.001502
                      7,                 1.3634,                 1.3417,                  1.639,                0.87263,                0.62936,                0.74851,                 0.4238,                 1.4888,                 1.3434,                 1.9142,               0.001469,               0.001469,               0.001469
                      8,                 1.3129,                 1.2332,                  1.591,                0.80158,                0.64061,                0.75901,                0.40145,                 1.5529,                 1.3584,                 2.0026,               0.001436,               0.001436,               0.001436
                      9,                 1.3074,                 1.2146,                 1.6045,                0.73628,                0.52792,                  0.599,                0.31777,                 1.6532,                 1.6253,                 2.1913,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2969,                 1.2042,                 1.5679,                0.76773,                 0.7557,                0.82098,                0.46713,                 1.4043,                 1.1041,                 1.8591,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2672,                  1.115,                 1.5739,                0.72978,                0.76423,                0.78887,                0.44652,                 1.4329,                  1.244,                  1.881,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2914,                 1.1645,                 1.5648,                0.84263,                0.76264,                0.83251,                0.49064,                 1.3534,                 1.0737,                 1.7845,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2449,                 1.1181,                   1.54,                0.79701,                0.76819,                0.79361,                 0.4354,                  1.448,                 1.2025,                 1.8748,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2435,                 1.0766,                  1.532,                0.78887,                0.67719,                0.74862,                0.38346,                 1.5696,                  1.227,                 2.0746,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2382,                 1.0746,                 1.5354,                0.85649,                0.77428,                0.84639,                0.52052,                  1.311,                 1.0007,                  1.782,              0.0012049,              0.0012049,              0.0012049
